t-SNE1,t-SNE2,Label
23.23987,6.7936525,3
3.4144092,22.364496,1
-2.20372,-3.1048727,3
7.5124226,4.3272257,3
-0.32481304,-31.802887,3
24.329731,19.396688,0
-14.647569,-13.929371,3
-12.51095,8.743052,3
22.361279,10.848197,2
-4.4609504,24.192333,3
-23.62443,-18.148619,1
-6.5444283,19.463627,1
14.28226,-13.566832,1
-18.453089,-1.6690128,1
-21.139364,18.074444,1
2.448577,20.566753,0
27.802544,7.528926,1
3.7935717,-21.599298,0
11.348314,-18.582438,3
-21.453749,-8.437094,0
5.7823806,-23.746798,2
19.21309,14.448819,0
-26.96581,-3.1467009,3
-12.674518,6.111654,0
14.560307,11.186702,3
-1.1528018,-19.208807,0
19.520844,-17.985367,1
-25.275965,-19.449236,0
-1.8198041,6.615815,3
15.677372,-10.798943,1
12.223319,-11.403428,0
9.888002,11.207711,3
11.834605,10.233172,2
5.567922,14.286468,1
12.153009,-31.960272,2
24.1295,16.947876,3
2.0992608,-15.192959,0
12.5890045,24.009588,3
-1.9872533,-5.841847,3
-7.552045,-9.790946,0
10.674796,6.457473,3
-21.325184,-9.249365,1
24.241508,-10.269463,2
-4.7429605,31.441475,0
-13.875095,14.923537,0
18.777391,7.2416506,1
5.7043962,-33.125206,1
12.906583,22.864058,1
-8.697936,-11.971205,2
-14.903993,-1.4642171,1
-21.1021,-19.344303,3
-26.1321,16.746078,3
-19.219997,-17.256144,1
15.647997,6.1139627,1
18.268732,16.23151,3
23.510801,-14.052351,2
7.021705,-25.999317,1
5.068463,12.29853,3
-4.6401587,3.217476,3
2.2497144,-10.059397,3
-13.893536,21.85346,3
21.74403,-7.282304,0
2.013133,-9.868527,3
-13.976291,-1.856825,3
12.407394,27.131676,3
-4.5739145,-19.11153,3
-13.287085,-17.405128,2
9.891056,-20.907616,0
-15.92447,12.79917,2
-14.991583,3.5519645,1
7.971761,-36.515617,0
-16.048908,-23.665579,1
6.040555,-10.517185,1
-20.704927,-7.041069,0
23.33195,4.5260935,3
-25.327166,9.792072,3
5.3923645,-14.635173,2
-11.957836,-24.69511,2
2.521255,-32.596813,1
-35.661404,-7.236242,3
15.167881,-5.4793496,3
-16.909601,-5.3550334,0
27.44767,-14.747113,0
-4.688491,-12.14188,0
-26.733988,0.56477565,0
-33.397713,3.6621628,1
15.506385,-7.1109548,2
-30.93438,16.091814,3
-29.649761,-13.7323,2
-11.635207,4.5999584,1
29.218971,10.217187,3
-12.624314,-5.433316,1
-8.117851,16.787548,1
12.891863,-14.011355,2
13.480646,-13.868837,1
-6.908771,-21.500912,2
8.099928,-25.932322,2
22.491667,-15.100186,2
-24.044666,8.044449,1
-1.0606182,2.1865003,1
-0.46141464,-27.46983,3
-13.929958,-8.421534,0
11.945196,26.195957,3
11.365479,-8.409919,1
